rank,gw_event_id,grb_event_id,confidence_score,time_diff_sec,time_diff_hours,angular_sep_deg,within_error_circle,temporal_score,spatial_score,significance_score,combined_error_deg,gw_time,grb_time,gw_ra,gw_dec,grb_ra,grb_dec,gw_snr,grb_flux,gw_pos_error,grb_pos_error
63,GW190521_074359,188240,0.6688264956913595,190311360.6,52864.266833333335,,False,0.0,0.0,0.8360331196141993,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.5314925,65.16343214,25.9,27.2,,5.56e-05
64,GW200129_065458,188249,0.6683497116735584,168455101.6,46793.08377777778,,False,0.0,0.0,0.835437139591948,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4661044,65.1899703,26.8,26.2,,5.56e-05
65,GW150914,188242,0.6680114752431069,306511755.6,85142.15433333334,,False,0.0,0.0,0.8350143440538835,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.3592336,65.24322071,26.0,27.0,,5.56e-05
66,GW150914,188340,0.6673625579480763,216914955.6,60254.15433333333,,False,0.0,0.0,0.8342031974350953,,2015-09-14 09:50:44.400000+00:00,2022-07-30 00:00:00+00:00,,,24.347458,-8.47727,26.0,26.94,,0.000138889
67,GW190521_074359,188242,0.666713834909994,190311360.6,52864.266833333335,,False,0.0,0.0,0.8333922936374925,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.3592336,65.24322071,25.9,27.0,,5.56e-05
68,GW190521_074359,188340,0.66606617816405,100714560.6,27976.26683333333,,False,0.0,0.0,0.8325827227050624,,2019-05-21 07:43:59.400000+00:00,2022-07-30 00:00:00+00:00,,,24.347458,-8.47727,25.9,26.94,,0.000138889
69,GW200129_065458,188236,0.6658231168444706,168455101.6,46793.08377777778,,False,0.0,0.0,0.8322788960555881,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4150464,65.19168513,26.8,26.0,,5.56e-05
70,GW150914,188247,0.6635615615982896,306511755.6,85142.15433333334,,False,0.0,0.0,0.8294519519978619,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.5505683,65.17682353,26.0,26.6,,5.56e-05
71,GW200129_065458,188234,0.6632160313657658,168455101.6,46793.08377777778,,False,0.0,0.0,0.8290200392072071,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4305786,65.172621,26.8,25.8,,5.56e-05
72,GW200129_065458,188233,0.6632160313657658,168455101.6,46793.08377777778,,False,0.0,0.0,0.8290200392072071,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.5644203,65.16542213,26.8,25.8,,5.56e-05
73,GW150914,188245,0.6624028382196334,306511755.6,85142.15433333334,,False,0.0,0.0,0.8280035477745418,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.2914272,65.24148441,26.0,26.5,,5.56e-05
74,GW190521_074359,188247,0.6622725654092347,190311360.6,52864.266833333335,,False,0.0,0.0,0.8278407067615433,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.5505683,65.17682353,25.9,26.6,,5.56e-05
75,GW200129_065458,188237,0.6618818483087243,168455101.6,46793.08377777778,,False,0.0,0.0,0.8273523103859054,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4185586,65.1998366,26.8,25.7,,5.56e-05
76,GW150914,188214,0.6613438400404363,308362486.6,85656.24627777778,,False,0.0,0.0,0.8266798000505453,,2015-09-14 09:50:44.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9461809,52.96828558,26.0,26.41,,5.56e-05
77,GW150914,188244,0.6612252228249204,306511755.6,85142.15433333334,,False,0.0,0.0,0.8265315285311504,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.2865683,65.24001444,26.0,26.4,,5.56e-05
78,GW190521_074359,188245,0.6611160928993837,190311360.6,52864.266833333335,,False,0.0,0.0,0.8263951161242296,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.2914272,65.24148441,25.9,26.5,,5.56e-05
79,GW190521_074359,188214,0.6600591518686053,192162091.6,53378.35877777778,,False,0.0,0.0,0.8250739398357566,,2019-05-21 07:43:59.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9461809,52.96828558,25.9,26.41,,5.56e-05
80,GW190521_074359,188244,0.6599407650720099,190311360.6,52864.266833333335,,False,0.0,0.0,0.8249259563400124,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.2865683,65.24001444,25.9,26.4,,5.56e-05
81,GW150914,188249,0.658812543660996,306511755.6,85142.15433333334,,False,0.0,0.0,0.8235156795762449,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4661044,65.1899703,26.0,26.2,,5.56e-05
82,GW190521_074359,188249,0.6575327726386434,190311360.6,52864.266833333335,,False,0.0,0.0,0.8219159657983042,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4661044,65.1899703,25.9,26.2,,5.56e-05
83,GW200129_065458,188239,0.6563367664375602,168455101.6,46793.08377777778,,False,0.0,0.0,0.8204209580469503,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.5169313,65.21741225,26.8,25.3,,5.56e-05
84,GW150914,188236,0.6563220026506855,306511755.6,85142.15433333334,,False,0.0,0.0,0.8204025033133568,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4150464,65.19168513,26.0,26.0,,5.56e-05
85,GW190521_074359,188236,0.6550470696087958,190311360.6,52864.266833333335,,False,0.0,0.0,0.8188088370109947,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4150464,65.19168513,25.9,26.0,,5.56e-05
86,GW200129_065458,188235,0.6548975720983629,168455101.6,46793.08377777778,,False,0.0,0.0,0.8186219651229535,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4679962,65.19471133,26.8,25.2,,5.56e-05
87,GW170817,188120,0.6544307643582453,253010863.6,70280.79544444445,,False,0.0,0.0,0.8180384554478066,,2017-08-17 12:41:04.400000+00:00,2025-08-23 21:28:48+00:00,,,27.82375,1.745861,33.0,22.91,,5.56e-05
88,GW150914,188234,0.6537521195703647,306511755.6,85142.15433333334,,False,0.0,0.0,0.8171901494629559,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4305786,65.172621,26.0,25.8,,5.56e-05
89,GW150914,188233,0.6537521195703647,306511755.6,85142.15433333334,,False,0.0,0.0,0.8171901494629559,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.5644203,65.16542213,26.0,25.8,,5.56e-05
90,GW190521_074359,188234,0.6524821786342397,190311360.6,52864.266833333335,,False,0.0,0.0,0.8156027232927996,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4305786,65.172621,25.9,25.8,,5.56e-05
91,GW190521_074359,188233,0.6524821786342397,190311360.6,52864.266833333335,,False,0.0,0.0,0.8156027232927996,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.5644203,65.16542213,25.9,25.8,,5.56e-05
92,GW150914,188237,0.6524369749414879,306511755.6,85142.15433333334,,False,0.0,0.0,0.8155462186768598,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4185586,65.1998366,26.0,25.7,,5.56e-05
93,GW170817,188255,0.6523240045117503,253527967.6,70424.43544444445,,False,0.0,0.0,0.8154050056396879,,2017-08-17 12:41:04.400000+00:00,2025-08-29 21:07:12+00:00,,,25.204542,2.594108,33.0,22.81,,5.56e-05
94,GW190521_074359,188237,0.651169588729013,190311360.6,52864.266833333335,,False,0.0,0.0,0.8139619859112661,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4185586,65.1998366,25.9,25.7,,5.56e-05
95,GW170817,187676,0.6508344973397596,253442431.6,70400.67544444444,,False,0.0,0.0,0.8135431216746994,,2017-08-17 12:41:04.400000+00:00,2025-08-28 21:21:36+00:00,,,28.9937531,-0.4452932,33.0,22.74,,5.56e-05
96,GW150914,188239,0.6469710198755352,306511755.6,85142.15433333334,,False,0.0,0.0,0.808713774844419,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.5169313,65.21741225,26.0,25.3,,5.56e-05
97,GW190521_074359,188239,0.6457142515102312,190311360.6,52864.266833333335,,False,0.0,0.0,0.8071428143877889,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.5169313,65.21741225,25.9,25.3,,5.56e-05
98,GW150914,188235,0.6455523624468442,306511755.6,85142.15433333334,,False,0.0,0.0,0.8069404530585552,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4679962,65.19471133,26.0,25.2,,5.56e-05
99,GW190521_074359,188235,0.6442983498831493,190311360.6,52864.266833333335,,False,0.0,0.0,0.8053729373539366,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4679962,65.19471133,25.9,25.2,,5.56e-05
100,GW170817,187373,0.6389363113498475,252749503.6,70208.19544444444,,False,0.0,0.0,0.7986703891873094,,2017-08-17 12:41:04.400000+00:00,2025-08-20 20:52:48+00:00,,,24.07090317,5.502577445,33.0,22.2,,5.56e-05
101,GW170817,187240,0.6322507692514141,253007407.6,70279.83544444444,,False,0.0,0.0,0.7903134615642675,,2017-08-17 12:41:04.400000+00:00,2025-08-23 20:31:12+00:00,,,27.34427207,8.439429516,33.0,21.91,,5.56e-05
102,GW170817,187758,0.6289501421982678,253442431.6,70400.67544444444,,False,0.0,0.0,0.7861876777478347,,2017-08-17 12:41:04.400000+00:00,2025-08-28 21:21:36+00:00,,,29.3226691,-1.4434432,33.0,21.77,,5.56e-05
103,GW170817,188326,0.6185192183805778,252629407.6,70174.83544444444,,False,0.0,0.0,0.7731490229757222,,2017-08-17 12:41:04.400000+00:00,2025-08-19 11:31:12+00:00,,,350.2089388,-4.175895042,33.0,21.34,,5.56e-05
104,GW200129_065458,188120,0.6158152177317795,175703629.6,48806.563777777774,,False,0.0,0.0,0.7697690221647243,,2020-01-29 06:54:58.400000+00:00,2025-08-23 21:28:48+00:00,,,27.82375,1.745861,26.8,22.91,,5.56e-05
105,GW200129_065458,188255,0.61383277001655,176220733.6,48950.20377777777,,False,0.0,0.0,0.7672909625206874,,2020-01-29 06:54:58.400000+00:00,2025-08-29 21:07:12+00:00,,,25.204542,2.594108,26.8,22.81,,5.56e-05
106,GW200129_065458,187676,0.6124311531712111,176135197.6,48926.44377777778,,False,0.0,0.0,0.7655389414640138,,2020-01-29 06:54:58.400000+00:00,2025-08-28 21:21:36+00:00,,,28.9937531,-0.4452932,26.8,22.74,,5.56e-05
