,event_id,utc_time,ra_deg,dec_deg,pos_error_deg,signal_strength,source,event_type
87,bn170816258,2017-08-16 06:11:11.879837,10.7,-15.61,4.04,3.2726,HEASARC,GRB
88,bn170430204,2017-04-30 04:54:19.746576,34.88,-15.17,62.38,4.07261,HEASARC,GRB
89,bn170419898,2017-04-19 21:33:46.806969,60.498,-15.143,0.05,3.9795,HEASARC,GRB
90,bn170901255,2017-09-01 06:07:47.452685,117.51,-13.23,7.62,4.3751,HEASARC,GRB
91,bn170121614,2017-01-21 14:44:22.413811,72.84,-12.65,1.78,10.8549,HEASARC,GRB
92,bn170114917,2017-01-14 22:01:09.495178,12.08,-12.55,1.0,29.7231,HEASARC,GRB
93,bn171230119,2017-12-30 02:51:26.141357,325.29,-12.35,14.77,4.86411,HEASARC,GRB
94,bn170419983,2017-04-19 23:36:14.875805,264.87,-11.23,5.66,5.02193,HEASARC,GRB
95,bn170109137,2017-01-09 03:17:35.378073,117.24,-10.92,2.85,5.32624,HEASARC,GRB
96,bn170923566,2017-09-23 13:35:34.051258,228.3,-10.78,14.76,1.65195,HEASARC,GRB
97,bn170402285,2017-04-02 06:50:54.391459,330.36,-10.63,1.64,16.6137,HEASARC,GRB
98,bn170915520,2017-09-15 12:28:16.266144,259.83,-10.56,5.79,4.69894,HEASARC,GRB
99,bn171010792,2017-10-10 19:00:50.576342,66.5809,-10.4633,0.02333,133.092,HEASARC,GRB
100,bn171011162,2017-10-11 03:52:44.786467,147.87,-9.8,5.5,4.05943,HEASARC,GRB
101,bn170208940,2017-02-08 22:33:36.532137,127.144,-9.02979,0.001,12.8087,HEASARC,GRB
102,bn170705244,2017-07-05 05:50:45.356755,237.61,-7.43,8.58,3.25845,HEASARC,GRB
103,bn170611937,2017-06-11 22:29:35.423606,173.58,-7.37,5.61,2.93537,HEASARC,GRB
104,bn170409112,2017-04-09 02:42:00.489888,347.58,-7.07,0.225,90.0597,HEASARC,GRB
105,bn170516808,2017-05-16 19:24:06.003907,12.26,-6.41,14.49,1.35095,HEASARC,GRB
106,bn170926528,2017-09-26 12:39:41.225127,146.53,-5.57,8.18,5.86205,HEASARC,GRB
107,bn170813051,2017-08-13 01:13:08.803257,201.058,-5.49079,0.00078,3.03573,HEASARC,GRB
108,bn170520202,2017-05-20 04:51:12.700426,244.54,-5.29,16.51,4.3742,HEASARC,GRB
109,bn170423719,2017-04-23 17:15:08.351165,344.34,-4.26,1.17,23.8548,HEASARC,GRB
110,bn170616047,2017-06-16 01:07:42.906259,132.21,-3.89,6.96,3.1123,HEASARC,GRB
111,bn170228794,2017-02-28 19:03:00.710294,239.55,-3.59,0.3,11.4962,HEASARC,GRB
112,bn170302719,2017-03-02 17:15:43.519507,198.47,-3.7,9.85,5.96103,HEASARC,GRB
113,bn171126216,2017-11-26 05:10:30.512784,348.43,-2.09,3.87,3.61458,HEASARC,GRB
114,bn170830135,2017-08-30 03:14:01.948733,267.244,-2.0,0.09,7.43989,HEASARC,GRB
115,bn170214649,2017-02-14 15:34:26.924218,256.33,-1.88,0.08,21.5939,HEASARC,GRB
116,bn171025416,2017-10-25 09:59:00.107721,98.0,-1.77,16.42,2.71247,HEASARC,GRB
117,bn170212034,2017-02-12 00:49:00.257837,155.1,-1.48,7.59,3.68156,HEASARC,GRB
118,bn170901007,2017-09-01 00:10:03.019210,23.97,-1.6,18.35,3.59637,HEASARC,GRB
119,bn170101116,2017-01-01 02:47:17.867242,70.64,-1.58,1.2,7.93175,HEASARC,GRB
120,bn170203486,2017-02-03 11:40:25.854931,245.09,-0.51,14.06,4.51072,HEASARC,GRB
121,bn171103655,2017-11-03 15:43:50.769840,5.7,-0.38,4.56,3.96457,HEASARC,GRB
122,bn170208553,2017-02-08 13:16:33.273783,284.42,-0.11,2.52,15.7817,HEASARC,GRB
123,bn170326489,2017-03-26 11:44:38.255338,304.96,0.59,11.32,2.68072,HEASARC,GRB
124,bn170527480,2017-05-27 11:31:02.373744,195.19,0.94,1.0,28.4021,HEASARC,GRB
125,bn171211844,2017-12-11 20:15:58.532976,78.14,1.15,7.1,8.40715,HEASARC,GRB
126,bn170130510,2017-01-30 12:13:48.167328,308.75,1.44,3.12,7.05129,HEASARC,GRB
