event_id,source,event_type,utc_time,ra_deg,dec_deg,pos_error_deg,signal_strength
187110,TNS,SN Ia,2025-08-24 12:22:57+00:00,114.934007,18.0005409,5.56E-05,17.5193
187811,TNS,AT,2025-09-01 05:43:04.800000+00:00,109.1437757,38.3520968,5.56E-05,20
188071,TNS,AT,2025-09-04 12:06:42.001000+00:00,114.6893319,20.4665604,5.56E-05,19.7154
188070,TNS,AT,2025-08-30 12:21:31.999000+00:00,130.774942,38.1882171,5.56E-05,19.3124
188069,TNS,AT,2025-08-31 12:22:44.999000+00:00,121.1891542,9.5300092,5.56E-05,18.2693
188068,TNS,AT,2025-08-30 12:20:10.999000+00:00,120.5126141,19.4756444,5.56E-05,19.3311
188065,TNS,AT,2025-09-02 10:48:01.995000+00:00,69.221275,21.2645699,5.56E-05,19.6144
188064,TNS,AT,2025-08-22 09:01:45.001000+00:00,11.1807179,-14.9802933,5.56E-05,18.8629
188063,TNS,AT,2025-09-02 08:02:22.997000+00:00,348.5449683,-1.5026313,5.56E-05,19.9539
188062,TNS,AT,2025-08-17 06:00:38.016000+00:00,230.538952,63.258079,5.56E-05,19.68
188061,TNS,AT,2025-08-29 01:03:43.200000+00:00,7.0798725,-19.328235,5.56E-05,19.874
188060,TNS,AT,2025-08-28 13:57:50.976000+00:00,80.563965,33.129335,5.56E-05,19.751
188059,TNS,AT,2025-08-02 10:55:12+00:00,44.2039904,-16.9797739,5.56E-05,20.0556
188058,TNS,AT,2025-08-27 23:01:32.160000+00:00,276.2567575,56.2740675,5.56E-05,20.072
188057,TNS,AT,2025-08-28 02:48:12.384000+00:00,284.075102,-8.837323,5.56E-05,18.334
188056,TNS,AT,2025-08-25 21:13:22.656000+00:00,281.08901,-37.22587,5.56E-05,19.485
188055,TNS,AT,2025-08-25 19:41:39.840000+00:00,230.3228471,-35.15325571,5.56E-05,18.631
188054,TNS,AT,2025-08-21 01:48:35.424000+00:00,267.222617,-30.753405,5.56E-05,19.401
162984,TNS,AT,2024-09-30 08:24:17.280000+00:00,70.205667,-56.437806,5.56E-05,18.4
186707,TNS,AT,2025-08-11 20:26:52.800000+00:00,36.934267,4.46782,5.56E-05,21.32
188051,TNS,AT,2025-09-03 04:42:30.816000+00:00,63.13969,-8.583914,5.56E-05,20.35
188050,TNS,AT,2025-08-27 07:39:32.002000+00:00,358.7974943,26.4500269,5.56E-05,20.6498
188049,TNS,AT,2025-09-03 01:46:46.560000+00:00,301.833867,60.318915,5.56E-05,20.41
187493,TNS,SN Ia,2018-05-20 08:21:49+00:00,255.5336206,60.9635734,5.56E-05,20.1766
188046,TNS,AT,2025-08-27 03:12:49.996000+00:00,238.3563051,28.0630172,5.56E-05,21.2742
188045,TNS,AT,2025-08-29 04:38:04.997000+00:00,291.3535415,37.5443936,5.56E-05,20.5081
188044,TNS,AT,2025-09-02 06:06:50.996000+00:00,287.8819984,30.7778001,5.56E-05,20.1301
188043,TNS,AT,2025-09-03 23:20:33.504000+00:00,11.93833818,3.875115134,5.56E-05,19.66
188042,TNS,AT,2025-09-03 23:13:09.408000+00:00,36.65868956,3.808126573,5.56E-05,19.21
188041,TNS,AT,2025-09-04 00:45:07.776000+00:00,28.93303937,14.9583716,5.56E-05,19.79
188040,TNS,AT,2025-09-04 00:22:48.576000+00:00,36.50076856,5.050974365,5.56E-05,19.4
188039,TNS,AT,2025-09-04 01:10:12+00:00,21.85762944,1.9006195,5.56E-05,19.76
188038,TNS,AT,2025-09-04 02:03:05.472000+00:00,29.67626946,3.715772273,5.56E-05,20.12
188037,TNS,AT,2025-09-04 01:21:01.728000+00:00,25.13688944,9.928176574,5.56E-05,20.55
188036,TNS,AT,2025-09-03 01:38:45.312000+00:00,28.1176059,16.48744553,5.56E-05,19.99
188035,TNS,AT,2025-09-04 01:10:20.640000+00:00,24.00858548,3.941009619,5.56E-05,19.46
188034,TNS,AT,2025-09-02 09:23:21.408000+00:00,0.132035083,21.14142491,5.56E-05,20.62
188033,TNS,AT,2025-09-03 12:12:23.904000+00:00,23.254622,-14.74199366,5.56E-05,20.75
186165,TNS,SN Ia,2023-07-30 10:57:17.997000+00:00,333.7118515,16.2483568,5.56E-05,17.089
187604,TNS,AT,2025-08-29 13:57:49.248000+00:00,62.7656677,21.063943,5.56E-05,18.225
188032,TNS,AT,2025-09-03 19:09:21.888000+00:00,262.9664429,55.23674847,5.56E-05,19.59
188031,TNS,AT,2025-08-24 19:01:22.368000+00:00,84.551403,-35.061998,5.56E-05,20.1
188030,TNS,AT,2025-08-17 17:58:12+00:00,75.105986,-28.526891,5.56E-05,19.04
188029,TNS,AT,2025-09-01 03:16:52.996000+00:00,233.1518723,30.1202545,5.56E-05,19.9605
188028,TNS,AT,2025-09-03 18:49:45.984000+00:00,327.1765594,25.510894,5.56E-05,19.02
188026,TNS,AT,2025-08-25 17:42:45.792000+00:00,88.523821,-41.724046,5.56E-05,20.36
188025,TNS,AT,2025-09-03 18:00:26.784000+00:00,296.5847388,59.44253537,5.56E-05,18.97
187494,TNS,AT,2025-08-27 04:13:48+00:00,242.4553933,15.60027924,5.56E-05,20.6016
186815,TNS,AT,2025-08-21 05:17:25.998000+00:00,266.0322858,65.06083345,5.56E-05,20.3514
186938,TNS,SN II,2025-08-24 06:03:03.003000+00:00,310.3107256,-25.3534767,5.56E-05,19.3108
