,table_name,column_name,description,unit,ucd,utype,xtype,datatype,size,principal,indexed,std
36,fermigbrst,pflx_plaw_ergflncb,Power Law Model 50-300 keV (BATSE) Energy Fluence for Peak Flux Spectrum,erg/cm^2,phot.fluence;em.gamma,,,double,,0,0,0
37,fermigbrst,flnc_plaw_phtflncb,Power Law Model 50-300 keV (BATSE) Photon Fluence for Fluence Spectrum,photon/cm^2,phot.fluence;em.gamma,,,double,,0,0,0
38,fermigbrst,trigger_name,Fermi Trigger Designation (Assigned for Each New Trigger Detected),,meta.id;meta.main,,,char,11,0,0,0
39,fermigbrst,flux_64_error,Uncertainty in the 10-1000 keV Peak Flux (64ms Timescale),photon/cm^2/s,stat.error;phot.flux;em.gamma,,,double,,1,0,0
40,fermigbrst,flnc_comp_pivot,Comptonized Model Pivot Energy for Fluence Spectrum,keV,stat.fit.param,,,double,,0,0,0
41,fermigbrst,pflx_comp_ampl_pos_err,Comptonized Model Amplitude Positive Error for Peak Flux Spectrum,photon/cm^2/s/keV,stat.error;stat.fit.param,,,double,,0,0,0
42,fermigbrst,pflx_plaw_ampl_neg_err,Power Law Model Amplitude Negative Error for Peak Flux Spectrum,photon/cm^2/s/keV,stat.error;stat.fit.param,,,double,,0,0,0
43,fermigbrst,dec,Declination,degree,pos.eq.dec;meta.main,,,double,,1,0,0
44,fermigbrst,pflx_band_phtflux_error,Band Model Photon Flux Error for Peak Flux Spectrum,photon/cm^2/s,stat.error;phot.flux;em.gamma,,,double,,0,0,0
45,fermigbrst,flux_batse_64_error,Uncertainty in the 50-300 keV Peak Flux (64ms Timescale),photon/cm^2/s,stat.error;phot.flux;em.gamma,,,double,,0,0,0
46,fermigbrst,pflx_sbpl_pivot,Smoothly Broken Power Law Model Pivot Energy for Peak Flux Spectrum,keV,stat.fit.param,,,double,,0,0,0
47,fermigbrst,flnc_plaw_ergflnc,Power Law Model Energy Fluence for Fluence Spectrum,erg/cm^2,phot.fluence;em.gamma,,,double,,0,0,0
48,fermigbrst,flnc_plaw_phtflnc,Power Law Model Photon Fluence for Fluence Spectrum,photon/cm^2,phot.fluence;em.gamma,,,double,,0,0,0
49,fermigbrst,pflx_band_beta,Band Model Beta for Peak Flux Spectrum,,stat.fit.param,,,double,,0,0,0
